27-9-2018 17:44:45.0	-86	-97	8405	8.405	0.003	375	0.003
27-9-2018 17:44:46.0	-86	-97	8406	8.406	0.003	375	0.003
27-9-2018 17:44:47.0	-86	-97	8406	8.406	0.007	376	0.007
27-9-2018 17:44:48.0	-91	-102	8407	8.407	0.003	376	0.003
27-9-2018 17:44:49.0	-87	-98	8407	8.407	0.003	377	0.003
27-9-2018 17:44:50.0	-87	-98	8407	8.407	0.003	377	0.003
27-9-2018 17:44:51.0	-88	-99	8408	8.408	0.003	377	0.003
27-9-2018 17:44:52.0	-88	-99	8408	8.408	0.003	378	0.003
27-9-2018 17:44:53.0	-88	-99	8550	8.55	1.126	384	0.05
27-9-2018 17:44:54.0	-88	-99	8852	8.852	2.387	395	0.089
27-9-2018 17:44:55.1	-86	-97	9140	9.14	2.28	408	0.099
27-9-2018 17:44:56.1	-86	-97	9452	9.452	2.476	419	0.093
27-9-2018 17:44:57.1	-86	-97	9756	9.756	2.403	431	0.089
27-9-2018 17:44:58.1	-86	-97	10028	10.028	2.154	442	0.089
27-9-2018 17:44:59.1	-86	-97	10345	10.345	2.51	454	0.094
27-9-2018 17:45:00.1	-86	-97	10648	10.648	2.4	465	0.087
27-9-2018 17:45:01.1	-87	-98	10936	10.936	2.266	477	0.095
27-9-2018 17:45:02.1	-87	-98	11237	11.237	2.383	488	0.09
27-9-2018 17:45:03.1	-87	-98	11546	11.546	2.447	500	0.091
27-9-2018 17:45:04.2	-87	-98	11825	11.825	2.195	510	0.083
27-9-2018 17:45:05.2	-90	-101	12145	12.145	2.474	522	0.092
27-9-2018 17:45:06.2	-90	-101	12445	12.445	2.383	533	0.088
27-9-2018 17:45:07.2	-86	-97	12716	12.716	2.143	545	0.094
27-9-2018 17:45:08.2	-86	-97	13035	13.035	2.517	557	0.094
27-9-2018 17:45:09.3	-86	-97	13348	13.348	2.463	569	0.092
27-9-2018 17:45:10.3	-90	-101	13609	13.609	2.057	579	0.08
27-9-2018 17:45:11.3	-88	-99	13916	13.916	2.425	590	0.091
27-9-2018 17:45:12.3	-90	-101	14209	14.209	2.311	601	0.084
27-9-2018 17:45:13.3	-90	-101	14218	14.218	0.069	602	0.004
27-9-2018 17:45:14.3	-90	-101	14218	14.218	0.003	602	0.003
27-9-2018 17:45:15.3	-90	-101	14218	14.218	0.003	602	0.003
27-9-2018 17:45:16.3	-88	-99	14219	14.219	0.003	603	0.003
27-9-2018 17:45:17.4	-98	-109	14219	14.219	0.003	603	0.003
27-9-2018 17:45:18.4	-98	-109	14219	14.219	0.003	603	0.003
27-9-2018 17:45:19.4	0	-108	14220	14.22	0.003	604	0.003
27-9-2018 17:45:20.4	0	-108	14220	14.22	0.003	604	0.003
27-9-2018 17:45:21.4	0	-108	14220	14.22	0.003	604	0.003
27-9-2018 17:45:22.4	0	-108	14221	14.221	0.003	605	0.003
27-9-2018 17:45:23.4	-99	-110	14221	14.221	0.003	605	0.003
27-9-2018 17:45:24.5	-97	-108	14221	14.221	0.003	605	0.003
27-9-2018 17:45:25.5	0	-111	14222	14.222	0.003	606	0.003
27-9-2018 17:45:26.5	-98	-109	14222	14.222	0.007	606	0.007
27-9-2018 17:45:27.5	-98	-109	14223	14.223	0.003	607	0.003
27-9-2018 17:45:28.5	-98	-109	14349	14.349	1.001	613	0.053
27-9-2018 17:45:29.5	-97	-108	14482	14.482	1.045	619	0.04
27-9-2018 17:45:30.5	-95	-106	14618	14.618	1.078	624	0.042
27-9-2018 17:45:31.6	-95	-106	14739	14.739	0.944	628	0.033
27-9-2018 17:45:32.6	-99	-110	14741	14.741	0.02	630	0.02
27-9-2018 17:45:33.6	-99	-110	14745	14.745	0.036	635	0.036
27-9-2018 17:45:34.6	-99	-110	14746	14.746	0.003	635	0.003
27-9-2018 17:45:35.6	-95	-106	14750	14.75	0.031	639	0.031
27-9-2018 17:45:36.6	-99	-110	14753	14.753	0.024	642	0.024
27-9-2018 17:45:37.6	-97	-108	14753	14.753	0.003	643	0.003
27-9-2018 17:45:38.7	-97	-108	14753	14.753	0.003	643	0.003
27-9-2018 17:45:39.7	-97	-108	14754	14.754	0.003	643	0.003
27-9-2018 17:45:40.7	-97	-108	14755	14.755	0.009	645	0.009
27-9-2018 17:45:41.7	-97	-108	14755	14.755	0.003	645	0.003
27-9-2018 17:45:42.7	-97	-108	14756	14.756	0.006	646	0.006
